#nNodeR = 100 ,nNodeZ = 100
R Z Phi
0.00091 7e-05 3.28589e-86
0.00093 7e-05 6.27711e-87
0.00095 7e-05 1.17535e-87
0.00097 7e-05 2.15789e-88
0.00099 7e-05 3.88599e-89
0.00101 7e-05 6.86649e-90
0.00103 7e-05 1.19089e-90
0.00105 7e-05 2.0279e-91
0.00107 7e-05 3.39155e-92
0.00109 7e-05 5.57258e-93
0.00111 7e-05 8.99802e-94
0.00113 7e-05 1.42821e-94
0.00115 7e-05 2.229e-95
0.00117 7e-05 3.42151e-96
0.00119 7e-05 5.16685e-97
0.00121 7e-05 7.67789e-98
0.00123 7e-05 1.12298e-98
0.00125 7e-05 1.61704e-99
0.00127 7e-05 2.2929e-100
0.00129 7e-05 3.2023e-101
0.00131 7e-05 4.40602e-102
0.00133 7e-05 5.97352e-103
0.00135 7e-05 7.98183e-104
0.00137 7e-05 1.05135e-104
0.00139 7e-05 1.36539e-105
0.00141 7e-05 1.74865e-106
0.00143 7e-05 2.20889e-107
0.00145 7e-05 2.75261e-108
0.00147 7e-05 3.38449e-109
0.00149 7e-05 4.10669e-110
0.00151 7e-05 4.91829e-111
0.00153 7e-05 5.81474e-112
0.00155 7e-05 6.78752e-113
0.00157 7e-05 7.82388e-114
0.00159 7e-05 8.90698e-115
0.00161 7e-05 1.00161e-115
0.00163 7e-05 1.11274e-116
0.00165 7e-05 1.22145e-117
0.00167 7e-05 1.32495e-118
0.00169 7e-05 1.42047e-119
0.00171 7e-05 1.5053e-120
0.00173 7e-05 1.57701e-121
0.00175 7e-05 1.6335e-122
0.00177 7e-05 1.67314e-123
0.00179 7e-05 1.69482e-124
0.00181 7e-05 1.69803e-125
0.00183 7e-05 1.68287e-126
0.00185 7e-05 1.65002e-127
0.00187 7e-05 1.60069e-128
0.00189 7e-05 1.53656e-129
0.00191 7e-05 1.45972e-130
0.00193 7e-05 1.37249e-131
0.00195 7e-05 1.27736e-132
0.00197 7e-05 1.17774e-133
0.00199 7e-05 1.17148e-134
1e-05 9e-05 5.0634e-66
3e-05 9e-05 4.79205e-66
5e-05 9e-05 4.29293e-66
7e-05 9e-05 3.64158e-66
9e-05 9e-05 2.92649e-66
0.00011 9e-05 2.22948e-66
0.00013 9e-05 1.61139e-66
0.00015 9e-05 1.1059e-66
0.00017 9e-05 7.21403e-67
0.00019 9e-05 4.47753e-67
0.00021 9e-05 2.64714e-67
0.00023 9e-05 1.4924e-67
0.00025 9e-05 8.03288e-68
0.00027 9e-05 4.13276e-68
0.00029 9e-05 2.0347e-68
0.00031 9e-05 9.59755e-69
0.00033 9e-05 4.34225e-69
0.00035 9e-05 1.88648e-69
0.00037 9e-05 7.87863e-70
0.00039 9e-05 3.16646e-70
0.00041 9e-05 1.22595e-70
0.00043 9e-05 4.57706e-71
0.00045 9e-05 1.64943e-71
0.00047 9e-05 5.74279e-72
0.00049 9e-05 1.93351e-72
0.00051 9e-05 6.30064e-73
0.00053 9e-05 1.98883e-73
0.00055 9e-05 6.0861e-74
0.00057 9e-05 1.80694e-74
0.00059 9e-05 5.20876e-75
0.00061 9e-05 1.45889e-75
0.00063 9e-05 3.97291e-76
0.00065 9e-05 1.05263e-76
0.00067 9e-05 2.71522e-77
0.00069 9e-05 6.82274e-78
0.00071 9e-05 1.67106e-78
0.00073 9e-05 3.99165e-79
0.00075 9e-05 9.30409e-80
0.00077 9e-05 2.11731e-80
0.00079 9e-05 4.70656e-81
0.00081 9e-05 1.02245e-81
0.00083 9e-05 2.17171e-82
0.00085 9e-05 4.51213e-83
0.00087 9e-05 9.17418e-84
0.00089 9e-05 1.82618e-84
0.00091 9e-05 3.56027e-85
0.00093 9e-05 6.80079e-86
0.00095 9e-05 1.27331e-86
0.00097 9e-05 2.33758e-87
0.00099 9e-05 4.20931e-88
0.00101 9e-05 7.43728e-89
0.00103 9e-05 1.28979e-89
0.00105 9e-05 2.19618e-90
0.00107 9e-05 3.67275e-91
0.00109 9e-05 6.03423e-92
0.00111 9e-05 9.74282e-93
0.00113 9e-05 1.54633e-93
0.00115 9e-05 2.41321e-94
0.00117 9e-05 3.70403e-95
0.00119 9e-05 5.59315e-96
0.00121 9e-05 8.31088e-97
0.00123 9e-05 1.21549e-97
0.00125 9e-05 1.75015e-98
0.00127 9e-05 2.4815e-99
0.00129 9e-05 3.46551e-100
0.00131 9e-05 4.7679e-101
0.00133 9e-05 6.46379e-102
0.00135 9e-05 8.63645e-103
0.00137 9e-05 1.13752e-103
0.00139 9e-05 1.47721e-104
0.00141 9e-05 1.89177e-105
0.00143 9e-05 2.38955e-106
0.00145 9e-05 2.97759e-107
0.00147 9e-05 3.66092e-108
0.00149 9e-05 4.44188e-109
0.00151 9e-05 5.31947e-110
0.00153 9e-05 6.28874e-111
0.00155 9e-05 7.34046e-112
0.00157 9e-05 8.46086e-113
0.00159 9e-05 9.63169e-114
0.00161 9e-05 1.08306e-114
0.00163 9e-05 1.20317e-115
0.00165 9e-05 1.32065e-116
0.00167 9e-05 1.4325e-117
0.00169 9e-05 1.5357e-118
0.00171 9e-05 1.62734e-119
0.00173 9e-05 1.70479e-120
0.00175 9e-05 1.76578e-121
0.00177 9e-05 1.80855e-122
0.00179 9e-05 1.83191e-123
0.00181 9e-05 1.83532e-124
0.00183 9e-05 1.81886e-125
0.00185 9e-05 1.78328e-126
0.00187 9e-05 1.72989e-127
0.00189 9e-05 1.66053e-128
0.00191 9e-05 1.57742e-129
0.00193 9e-05 1.4831e-130
0.00195 9e-05 1.38026e-131
0.00197 9e-05 1.27256e-132
0.00199 9e-05 1.26575e-133
1e-05 0.00011 5.44775e-65
3e-05 0.00011 5.15576e-65
5e-05 0.00011 4.61869e-65
7e-05 0.00011 3.91783e-65
9e-05 0.00011 3.1484e-65
0.00011 0.00011 2.39846e-65
0.00013 0.00011 1.73345e-65
0.00015 0.00011 1.18962e-65
0.00017 0.00011 7.75973e-66
0.00019 0.00011 4.81596e-66
0.00021 0.00011 2.84705e-66
0.00023 0.00011 1.605e-66
0.00025 0.00011 8.63836e-67
0.00027 0.00011 4.44395e-67
0.00029 0.00011 2.18776e-67
0.00031 0.00011 1.03187e-67
0.00033 0.00011 4.66815e-68
0.00035 0.00011 2.0279e-68
0.00037 0.00011 8.46858e-69
0.00039 0.00011 3.40328e-69
0.00041 0.00011 1.31753e-69
0.00043 0.00011 4.91855e-70
0.00045 0.00011 1.77234e-70
0.00047 0.00011 6.1702e-71
0.00049 0.00011 2.07724e-71
0.00051 0.00011 6.76839e-72
0.00053 0.00011 2.1363e-72
0.00055 0.00011 6.53681e-73
0.00057 0.00011 1.94059e-73
0.00059 0.00011 5.59354e-74
0.00061 0.00011 1.56653e-74
0.00063 0.00011 4.26567e-75
0.00065 0.00011 1.13011e-75
0.00067 0.00011 2.91483e-76
0.00069 0.00011 7.32369e-77
0.00071 0.00011 1.79361e-77
0.00073 0.00011 4.28403e-78
0.00075 0.00011 9.98481e-79
0.00077 0.00011 2.27204e-79
0.00079 0.00011 5.05011e-80
0.00081 0.00011 1.097e-80
0.00083 0.00011 2.32988e-81
0.00085 0.00011 4.84037e-82
0.00087 0.00011 9.84084e-83
0.00089 0.00011 1.95873e-83
0.00091 0.00011 3.81842e-84
0.00093 0.00011 7.29337e-85
0.00095 0.00011 1.36544e-85
0.00097 0.00011 2.50654e-86
0.00099 0.00011 4.51324e-87
0.00101 0.00011 7.97373e-88
0.00103 0.00011 1.38273e-88
0.00105 0.00011 2.35427e-89
0.00107 0.00011 3.93687e-90
0.00109 0.00011 6.46775e-91
0.00111 0.00011 1.04421e-91
0.00113 0.00011 1.65721e-92
0.00115 0.00011 2.58609e-93
0.00117 0.00011 3.96914e-94
0.00119 0.00011 5.9931e-95
0.00121 0.00011 8.90463e-96
0.00123 0.00011 1.30225e-96
0.00125 0.00011 1.87496e-97
0.00127 0.00011 2.65831e-98
0.00129 0.00011 3.71222e-99
